Wall,-100,20,-0.9,0,0,0,1,40,65,Wall,,
Wall,40,7.5,-35,0,0,0,30,15,30,Wall,,
Wall,-40,7.5,35,0,0,0,30,15,30,Wall,,
Wall,20,20,27.5,0,0,0,10,40,45,Wall,,
Wall,20,20,-27.5,0,0,0,10,40,45,Wall,,
Wall,-40,7.5,-35,0,0,0,30,15,30,Wall,,
Wall,100,20,27.5,0,0,0,10,40,45,Wall,,
Wall,100,20,-27.5,0,0,0,10,40,45,Wall,,
Wall,20,20,-65,0,0,0,170,40,30,Wall,,
Wall,-60,20,27.5,0,0,0,10,40,45,Wall,,
Wall,20,20,65,0,0,0,170,40,30,Wall,,
Wall,-85,20,-39.5,0,0,0,40,40,20,Wall,,
Wall,-85,20,39.1,0,0,0,40,40,20,Wall,,
Wall,-60,20,-27.5,0,0,0,10,40,45,Wall,,
Wall,107.6,15,0.1,0,0,0,5,30,15,Wall,,
Floor,101.7,0,0,0,0,0,20,1,15,Floor,,
Floor,10,0,0,0,0,0,170,1,100,Floor,,
Floor,-40,14.5,35,0,0,0,30,1,30,Floor,,
Floor,-40,14.5,-35,0,0,0,30,1,30,Floor,,
Floor,40,14.5,-35,0,0,0,30,1,30,Floor,,
Door,20,20,0,0,0,0,5,40,10,0,2,AreaDoorBLUCK
Door,-60,20,0,0,0,0,5,40,10,1,2,AreaDoorBLUE
Switch,37.5,0.4,40,0,0,0,10,0.5,10,0,2,BLUCKSWITCH
Switch,37.6,15,-35.5,0,0,0,10,0.5,10,0,2,BLUCKSWITCH
Switch,-46.5,15,35.5,0,0,0,10,0.5,10,1,2,BLUESWITCH
Switch,-48.6,15,-35.5,0,0,0,10,0.5,10,1,2,BLUESWITCH
StageDoor,-84.7,0.5,-0.9,0,-1.570796327,0,5,5,5,DOOR,,
StageDoor,87.4,0.5,0,0,1.570796327,0,5,5,5,DOOR,,
GoalBeforeFloor,-89.6,0,-2.5,0,0,0,30,1,100,Floor,,
GoalFloor,-93.1,0,-1.1,0,0,0,15,1,15,Floor,,
Enemy,-33,20,35.7,0,0,0,3,3,3,Enemy::rightMove,Enemy::stay,
Enemy,-31.8,20,-35.9,0,0,0,3,3,3,Enemy::rightMove,Enemy::stay,
Enemy,36.3,2,12,0,0,0,3,3,3,Enemy::rightMove,Enemy::stay,
Enemy,49.72,20,-32.2,0,0,0,3,3,3,Enemy::rightMove,Enemy::stay,
Enemy,61.67,2,-27.3,0,0,0,3,3,3,Enemy::fly,Enemy::fixedStay,
Enemy,61.67,2,-40.4,0,0,0,3,3,3,Enemy::fly,Enemy::fixedStay,
Enemy,-9.700001,2,28.3,0,0,0,3,3,3,Enemy::fly,Enemy::fixedStay,
Enemy,-9.700001,2,41,0,0,0,3,3,3,Enemy::fly,Enemy::fixedStay,
Enemy,-7.7,2,-36.8,0,0,0,3,3,3,Enemy::fly,Enemy::fixedStay,
Enemy,-7.7,2,-23.7,0,0,0,3,3,3,Enemy::fly,Enemy::fixedStay,
